category;value
Kleidung, Schuhe, Accessoires;78
Bücher, Hörbücher;54
Elektrozubehör;52
Medikamente;48
Kosmetik, Parfum und Pflegeprodukte;44
Möbel, Wohnen und Dekoration;32
Elektronische Haushaltsgeräte;32
Lebensmittel, Getränke;28
Gutscheine;28
Heimwerkerbedarf;27
Spielzeug / Spiele;26
Smartphones / Handys;26
Musik / Filme auf CD / DVD / Blu-ray;20
Computer: Desktop-PC, Tablet, Laptop;19
Gartengeräte;18
Software;18
Blumen, Pflanzen;17
Unterhaltungselektronik;16
Sportgeräte und Equipment;15
Erotik-Artikel;10
