Umfrage zur Häufigkeit des Online-Kaufs nach Produktkategorien 2023;;;;;;;
Wie häufig kaufen Sie Produkte aus folgenden Kategorien online?;;;;;;;
;Mindestens wöchentlich;Zwei- oder dreimal pro Monat;Einmal im Monat;Alle zwei oder drei Monate;Mind. ein- oder zweimal im Jahr;Alle zwei Jahre oder seltener;
Schmuck und Accressoires;4;16;18;29;28;5;in %
Beauty und Gesundheit;6;13;35;32;13;1;in %
Bücher;5;18;32;28;15;2;in %
Autozubehör;4;12;7;20;39;18;in %
DVD / CD / Videospiele;6;17;32;30;14;1;in %
Mode;4;15;33;33;15;-;in %
Frische Lebensmittel / Getränke;17;37;32;11;2;-;in %
Sonstige Lebensmittel;13;27;35;17;5;3;in %
Möbel;9;9;7;8;29;38;in %
High-tech / Elektronik;7;5;9;17;33;29;in %
Freizeit;4;15;35;27;17;2;in %
Arzneimittel;2;14;33;35;15;1;in %
Schuhe;3;7;11;35;38;6;in %
Kleinmöbel / Dekoration;2;7;12;31;40;8;in %
Sport;4;16;20;26;30;4;in %
Spielzeug;4;13;28;31;20;4;in %
Haushaltswaren;3;8;7;14;33;35;in %
